customer_city,Revenue,Orders,Customers,Average_Order_Value
sao paulo,2901789.67,15540,14984,186.730351994852
rio de janeiro,1581736.07,6882,6620,229.8366855565243
belo horizonte,509165.81,2773,2672,183.6155102776776
brasilia,435971.02,2131,2069,204.58518066635384
curitiba,333582.09,1521,1465,219.3176134122288
porto alegre,317995.72000000003,1379,1326,230.59878172588836
salvador,291499.12,1245,1209,234.13583935742972
campinas,272595.57,1444,1398,188.77809556786704
goiania,215121.83000000002,692,671,310.86969653179193
guarulhos,207174.47,1189,1153,174.2426156433978
niteroi,178432.41,849,811,210.16773851590108
fortaleza,152188.93,654,643,232.7047859327217
sao bernardo do campo,152128.2,938,908,162.18358208955226
santos,151379.11,713,692,212.31291725105189
florianopolis,131685.74,570,546,231.0276140350877
recife,131588.73,613,590,214.66350734094618
jundiai,124330.98,565,547,220.05483185840708
santo andre,123526.17,797,769,154.9889209535759
osasco,120565.17,746,717,161.61550938337803
belem,113625.01,447,435,254.19465324384785
sao jose dos campos,112025.31,691,666,162.1205643994211
sorocaba,105436.92,633,610,166.5670142180095
ribeirao preto,95773.81,510,489,187.7917843137255
sao luis,94678.64,353,341,268.2114447592068
juiz de fora,91379.97,427,415,214.00461358313817
nova iguacu,89508.0,442,432,202.50678733031674
vila velha,85225.6,334,325,255.1664670658683
divinopolis,84107.71,137,136,613.9248905109489
joao pessoa,82700.22,256,241,323.047734375
mogi das cruzes,78909.81,383,371,206.03083550913837
campo grande,77086.06,320,315,240.8939375
teresina,76630.99,281,271,272.7081494661922
vitoria,76178.79,380,367,200.4705
sao jose do rio preto,74027.49,335,330,220.97758208955224
piracicaba,72241.12,369,360,195.77539295392953
contagem,71612.12,426,417,168.10356807511735
barueri,70335.27,433,419,162.4371131639723
sao goncalo,69059.7,409,399,168.85012224938873
uberlandia,65903.24,374,367,176.21187165775402
londrina,62774.1,306,298,205.1441176470588
cuiaba,60582.29,248,242,244.28342741935484
maringa,59149.44,271,261,218.26361623616236
maceio,57770.72,247,243,233.88955465587046
indaiatuba,57058.92,280,269,203.78185714285715
diadema,56093.1,286,274,196.1297202797203
aracaju,55066.26,225,220,244.73893333333334
maua,54832.72,323,314,169.76074303405574
praia grande,54705.95,316,297,173.12009493670885
petropolis,54259.729999999996,240,220,226.0822083333333
taboao da serra,54219.44,296,285,183.1737837837838
natal,52584.71,207,203,254.03241545893718
bauru,51571.090000000004,273,267,188.90509157509157
caxias do sul,51405.82,224,213,229.49026785714287
duque de caxias,50093.86,266,262,188.32278195488723
serra,49606.76,285,278,174.05880701754387
sao carlos,49448.61,241,231,205.18095435684648
joinville,48727.23,264,260,184.57284090909093
macae,47019.83,239,232,196.73569037656904
carapicuiba,46898.56,328,320,142.98341463414633
taubate,46777.8,270,266,173.25111111111113
santa maria,45369.87,197,191,230.30390862944165
campos dos goytacazes,44725.02,238,235,187.92025210084032
montes claros,44625.14,211,206,211.49355450236968
volta redonda,44108.14,232,226,190.12129310344827
sao caetano do sul,43446.03,277,267,156.84487364620938
cotia,43387.47,250,244,173.54988
franca,42392.31,161,160,263.30627329192544
uberaba,41311.33,191,182,216.28968586387435
marilia,41012.95,196,195,209.24974489795918
americana,40863.26,224,220,182.42526785714287
valinhos,40789.63,183,178,222.89415300546446
guaruja,40279.52,226,215,178.22796460176988
betim,40082.14,203,201,197.4489655172414
presidente prudente,39529.159999999996,161,158,245.52273291925462
canoas,38950.55,210,202,185.47880952380953
feira de santana,38381.82,185,176,207.4692972972973
cascavel,38096.66,153,151,248.9977777777778
campina grande,37734.43,68,68,554.9180882352941
novo hamburgo,36900.83,123,120,300.00674796747967
nova friburgo,36759.92,152,145,241.84157894736842
limeira,36296.88,190,181,191.03621052631578
blumenau,35747.97,188,183,190.1487765957447
suzano,34915.17,234,222,149.2101282051282
ipatinga,33915.81,171,168,198.3380701754386
pelotas,33470.78,186,180,179.95043010752687
sao jose,33042.39,169,166,195.51710059171597
manaus,32810.59,140,135,234.36135714285712
sumare,32785.22,183,177,179.15420765027324
palmas,32685.01,110,108,297.1364545454545
porto velho,32593.260000000002,113,105,288.43592920353984
santana de parnaiba,32185.34,185,177,173.97481081081082
rio verde,32121.28,67,66,479.4220895522388
