order_year_month,Revenue,Revenue Growth (%)
2016-09-01,388.46999999999997,
2016-10-01,76559.05,19607.84
2016-12-01,19.62,-99.97
2017-01-01,190806.27,972409.02
2017-02-01,351848.13,84.4
2017-03-01,547769.84,55.68
2017-04-01,512126.52,-6.51
2017-05-01,737425.31,43.99
2017-06-01,613777.41,-16.77
2017-07-01,749242.84,22.07
2017-08-01,884168.36,18.01
2017-09-01,1030141.97,16.51
2017-10-01,1046083.41,1.55
2017-11-01,1610581.21,53.96
2017-12-01,1060949.63,-34.13
2018-01-01,1425461.4,34.36
2018-02-01,1327338.97,-6.88
2018-03-01,1486669.64,12.0
2018-04-01,1500373.12,0.92
2018-05-01,1512010.75,0.78
2018-06-01,1299683.17,-14.04
2018-07-01,1362267.08,4.82
2018-08-01,1248942.63,-8.32
2018-09-01,4439.54,-99.64
2018-10-01,589.6700000000001,-86.72
