order_year_month,Revenue
2016-09-01,388.46999999999997
2016-10-01,76559.05
2016-12-01,19.62
2017-01-01,190806.27
2017-02-01,351848.13
2017-03-01,547769.84
2017-04-01,512126.52
2017-05-01,737425.31
2017-06-01,613777.41
2017-07-01,749242.84
2017-08-01,884168.36
2017-09-01,1030141.97
2017-10-01,1046083.41
2017-11-01,1610581.21
2017-12-01,1060949.63
2018-01-01,1425461.4
2018-02-01,1327338.97
2018-03-01,1486669.64
2018-04-01,1500373.12
2018-05-01,1512010.75
2018-06-01,1299683.17
2018-07-01,1362267.08
2018-08-01,1248942.63
2018-09-01,4439.54
2018-10-01,589.6700000000001
