order_year_month,Revenue,Orders,Customers,Revenue_Growth
2016-09-01,388.46999999999997,4,4,
2016-10-01,76559.05,324,321,19607.84
2016-12-01,19.62,1,1,-99.97
2017-01-01,190806.27,800,765,972409.02
2017-02-01,351848.13,1780,1755,84.4
2017-03-01,547769.84,2682,2642,55.68
2017-04-01,512126.52,2404,2372,-6.51
2017-05-01,737425.31,3700,3625,43.99
2017-06-01,613777.41,3245,3180,-16.77
2017-07-01,749242.84,4026,3947,22.07
2017-08-01,884168.36,4331,4246,18.01
2017-09-01,1030141.97,4285,4212,16.51
2017-10-01,1046083.41,4631,4561,1.55
2017-11-01,1610581.21,7544,7430,53.96
2017-12-01,1060949.63,5673,5603,-34.13
2018-01-01,1425461.4,7269,7166,34.36
2018-02-01,1327338.97,6728,6569,-6.88
2018-03-01,1486669.64,7211,7115,12.0
2018-04-01,1500373.12,6939,6882,0.92
2018-05-01,1512010.75,6873,6814,0.78
2018-06-01,1299683.17,6167,6128,-14.04
2018-07-01,1362267.08,6292,6230,4.82
2018-08-01,1248942.63,6512,6460,-8.32
2018-09-01,4439.54,16,14,-99.64
2018-10-01,589.6700000000001,4,4,-86.72
