customer_state,Revenue,Orders,Customers,Average_Order_Value
SP,7726078.35,41746,40302,185.07350045513343
RJ,2795615.67,12852,12384,217.52378384687208
MG,2351221.09,11635,11259,202.0817438762355
RS,1160175.66,5466,5277,212.25313940724476
PR,1079795.49,5045,4882,214.03280277502478
BA,805070.98,3380,3277,238.18668047337277
SC,801276.45,3637,3534,220.3124690679131
GO,520481.65,2020,1952,257.66418316831687
DF,438095.32,2140,2075,204.71743925233645
ES,408611.64,2033,1964,200.98949335956715
PE,380294.18,1652,1609,230.20228813559322
CE,349290.36,1336,1313,261.44488023952096
PA,263217.7,975,949,269.9668717948718
MT,257802.26,907,876,284.23622932745315
MA,200363.24,747,726,268.2238821954484
PB,181660.73,536,519,338.9192723880597
MS,167670.27,715,694,234.50387412587412
PI,137158.89,495,482,277.0886666666667
RN,117192.91,485,474,241.63486597938146
AL,112296.47,413,401,271.9042857142857
SE,90651.44,350,342,259.0041142857143
TO,72412.08,280,273,258.6145714285714
RO,69184.48,253,240,273.456442687747
AM,34956.93,148,143,236.19547297297296
AC,24984.86,81,77,308.4550617283951
AP,21642.7,68,67,318.27500000000003
RR,12462.21,46,45,270.9176086956522
